moves, improved_won, alphabeta, improved, pct_improvement, firstmove
0, 1, 268, 310, -15.67, imp
1, 1, 308, 311, -0.97, imp
2, 0, 271, 271, 0.00, imp
3, 1, 131, 133, -1.53, ab
4, 1, 315, 296, 6.03, ab
5, 0, 255, 226, 11.37, ab
0, 0, 370, 350, 5.41, imp
1, 1, 266, 236, 11.28, imp
2, 0, 303, 345, -13.86, imp
3, 0, 159, 151, 5.03, imp
4, 0, 175, 154, 12.00, ab
5, 1, 178, 157, 11.80, ab
0, 0, 243, 241, 0.82, ab
1, 1, 291, 309, -6.19, ab
2, 1, 301, 327, -8.64, imp
3, 1, 299, 299, 0.00, ab
4, 0, 185, 223, -20.54, imp
5, 1, 258, 206, 20.16, ab
0, 1, 374, 384, -2.67, imp
1, 0, 321, 333, -3.74, imp
2, 0, 311, 307, 1.29, ab
3, 1, 236, 232, 1.69, ab
4, 0, 180, 174, 3.33, ab
5, 1, 274, 250, 8.76, ab
0, 1, 326, 294, 9.82, imp
1, 1, 281, 276, 1.78, ab
2, 0, 221, 217, 1.81, ab
3, 1, 318, 332, -4.40, imp
4, 1, 210, 216, -2.86, imp
5, 1, 198, 174, 12.12, ab
0, 0, 336, 350, -4.17, ab
1, 1, 262, 239, 8.78, ab
2, 0, 275, 299, -8.73, imp
3, 0, 268, 274, -2.24, imp
5, 0, 163, 155, 4.91, imp
0, 1, 255, 241, 5.49, ab
1, 0, 300, 302, -0.67, imp
2, 1, 340, 334, 1.76, imp
3, 0, 230, 253, -10.00, ab
4, 1, 300, 311, -3.67, imp
0, 1, 74, 74, 0.00, imp
1, 1, 373, 385, -3.22, imp
2, 0, 140, 137, 2.14, ab
3, 0, 230, 229, 0.43, ab
4, 1, 217, 212, 2.30, imp
5, 1, 255, 237, 7.06, ab
0, 0, 280, 269, 3.93, ab
1, 1, 291, 298, -2.41, ab
2, 0, 159, 162, -1.89, imp
3, 1, 254, 251, 1.18, imp
4, 1, 297, 294, 1.01, ab
5, 1, 231, 259, -12.12, imp
0, 1, 343, 321, 6.41, imp
1, 1, 248, 217, 12.50, ab
2, 1, 168, 168, 0.00, ab
3, 1, 97, 66, 31.96, ab
4, 0, 290, 306, -5.52, imp
5, 1, 162, 167, -3.09, ab
0, 0, 305, 311, -1.97, ab
1, 0, 316, 324, -2.53, ab
2, 0, 175, 193, -10.29, imp
3, 1, 219, 252, -15.07, imp
4, 0, 181, 179, 1.10, ab
0, 0, 243, 271, -11.52, imp
1, 1, 243, 231, 4.94, ab
2, 1, 251, 249, 0.80, ab
3, 0, 250, 273, -9.20, ab
4, 1, 249, 242, 2.81, ab
5, 0, 161, 166, -3.11, imp
0, 0, 240, 261, -8.75, imp
1, 0, 302, 330, -9.27, imp
2, 1, 324, 304, 6.17, ab
3, 0, 180, 195, -8.33, ab
5, 1, 279, 261, 6.45, imp
0, 1, 350, 327, 6.57, ab
1, 1, 339, 342, -0.88, imp
2, 1, 122, 116, 4.92, imp
